date,open,high,low,close
2024-08-25 22:00:00,1.11914,1.11944,1.11886,1.119
2024-08-25 22:15:00,1.11899,1.11906,1.11868,1.11872
2024-08-25 22:30:00,1.11872,1.11914,1.1187,1.11914
2024-08-25 22:45:00,1.11914,1.11921,1.11886,1.11915
2024-08-25 23:00:00,1.11914,1.11926,1.11886,1.11904
2024-08-25 23:15:00,1.11904,1.1191,1.11885,1.11892
2024-08-25 23:30:00,1.11891,1.11901,1.11884,1.1189
2024-08-25 23:45:00,1.11891,1.11898,1.11864,1.11898
2024-08-26 00:00:00,1.11897,1.11915,1.1187,1.11896
2024-08-26 00:15:00,1.11896,1.11994,1.11896,1.11979
2024-08-26 00:30:00,1.11978,1.11994,1.11944,1.11968
2024-08-26 00:45:00,1.11968,1.12016,1.11936,1.11938
2024-08-26 01:00:00,1.11938,1.11998,1.11923,1.11993
2024-08-26 01:15:00,1.11994,1.12003,1.1197,1.1197
2024-08-26 01:30:00,1.1197,1.11976,1.11891,1.11893
2024-08-26 01:45:00,1.11892,1.11899,1.11875,1.11896
2024-08-26 02:00:00,1.11896,1.11922,1.11886,1.11915
2024-08-26 02:15:00,1.11916,1.1195,1.11899,1.11919
2024-08-26 02:30:00,1.1192,1.11926,1.11896,1.11922
2024-08-26 02:45:00,1.11922,1.11922,1.1186,1.11871
2024-08-26 03:00:00,1.1187,1.1188,1.11865,1.11875
2024-08-26 03:15:00,1.11875,1.1189,1.11862,1.11862
2024-08-26 03:30:00,1.11863,1.11863,1.11819,1.1183
2024-08-26 03:45:00,1.1183,1.11841,1.11818,1.11835
2024-08-26 04:00:00,1.11836,1.11864,1.11834,1.11848
2024-08-26 04:15:00,1.11848,1.11859,1.11827,1.11838
2024-08-26 04:30:00,1.11838,1.11852,1.11832,1.11834
2024-08-26 04:45:00,1.11833,1.1184,1.11824,1.11835
2024-08-26 05:00:00,1.11836,1.11854,1.1182,1.1184
2024-08-26 05:15:00,1.1184,1.11851,1.11834,1.11835
2024-08-26 05:30:00,1.11835,1.11838,1.11818,1.11818
2024-08-26 05:45:00,1.11819,1.11822,1.11778,1.11794
2024-08-26 06:00:00,1.11793,1.11844,1.11793,1.11823
2024-08-26 06:15:00,1.11824,1.11841,1.1181,1.11836
2024-08-26 06:30:00,1.11836,1.11894,1.11832,1.11889
2024-08-26 06:45:00,1.11889,1.11889,1.11802,1.11802
2024-08-26 07:00:00,1.11802,1.11848,1.11774,1.11812
2024-08-26 07:15:00,1.11812,1.11815,1.1177,1.11772
2024-08-26 07:30:00,1.11773,1.11813,1.1176,1.11772
2024-08-26 07:45:00,1.11771,1.11811,1.11763,1.11809
2024-08-26 08:00:00,1.1181,1.11837,1.11764,1.11818
2024-08-26 08:15:00,1.11818,1.11849,1.11792,1.11826
2024-08-26 08:30:00,1.11826,1.11836,1.11794,1.11805
2024-08-26 08:45:00,1.11804,1.11825,1.11796,1.11806
2024-08-26 09:00:00,1.11806,1.11816,1.1179,1.11794
