date,open,high,low,close
2024-09-12 00:00:00,1.10104,1.1012,1.10093,1.10096
2024-09-12 00:15:00,1.10095,1.10098,1.10073,1.10084
2024-09-12 00:30:00,1.10085,1.1009,1.10072,1.10079
2024-09-12 00:45:00,1.10079,1.10091,1.10061,1.10069
2024-09-12 01:00:00,1.10069,1.10104,1.10066,1.10094
2024-09-12 01:15:00,1.10093,1.10103,1.10084,1.10094
2024-09-12 01:30:00,1.10094,1.10128,1.10089,1.10125
2024-09-12 01:45:00,1.10125,1.1013,1.1011,1.10114
2024-09-12 02:00:00,1.10114,1.10119,1.10078,1.10082
2024-09-12 02:15:00,1.10084,1.10107,1.10081,1.10105
2024-09-12 02:30:00,1.10105,1.10119,1.10105,1.10118
2024-09-12 02:45:00,1.10117,1.10125,1.10094,1.10099
2024-09-12 03:00:00,1.101,1.10128,1.10099,1.10119
2024-09-12 03:15:00,1.10119,1.10139,1.10116,1.10135
2024-09-12 03:30:00,1.10134,1.10139,1.10126,1.10128
2024-09-12 03:45:00,1.10129,1.10143,1.10128,1.10138
2024-09-12 04:00:00,1.10139,1.10156,1.10138,1.10153
2024-09-12 04:15:00,1.10154,1.10165,1.10149,1.1016
2024-09-12 04:30:00,1.1016,1.1016,1.10146,1.10158
2024-09-12 04:45:00,1.10158,1.1017,1.10157,1.10164
2024-09-12 05:00:00,1.10164,1.10171,1.10153,1.1017
2024-09-12 05:15:00,1.1017,1.1017,1.10156,1.10168
2024-09-12 05:30:00,1.10168,1.10186,1.10166,1.10176
2024-09-12 05:45:00,1.10175,1.10221,1.10174,1.1022
2024-09-12 06:00:00,1.10218,1.10218,1.10175,1.10206
2024-09-12 06:15:00,1.10206,1.1024,1.10184,1.10187
2024-09-12 06:30:00,1.10186,1.10206,1.10174,1.10184
2024-09-12 06:45:00,1.10184,1.10185,1.10078,1.10082
2024-09-12 07:00:00,1.10083,1.1012,1.10067,1.10104
2024-09-12 07:15:00,1.10103,1.1014,1.10061,1.10138
2024-09-12 07:30:00,1.10138,1.1016,1.10124,1.1013
2024-09-12 07:45:00,1.10129,1.10134,1.10075,1.1008
2024-09-12 08:00:00,1.10079,1.10114,1.10056,1.10105
2024-09-12 08:15:00,1.10105,1.10179,1.10066,1.10172
2024-09-12 08:30:00,1.10172,1.1022,1.10158,1.1021
2024-09-12 08:45:00,1.10212,1.10215,1.10141,1.10157
2024-09-12 09:00:00,1.10158,1.10196,1.10158,1.10194
2024-09-12 09:15:00,1.10195,1.10202,1.10164,1.10186
