date,open,high,low,close
2024-09-06 00:00:00,1.11112,1.11126,1.11102,1.11111
2024-09-06 00:15:00,1.11111,1.11118,1.11098,1.11105
2024-09-06 00:30:00,1.11106,1.11125,1.11101,1.11107
2024-09-06 00:45:00,1.11108,1.11148,1.11099,1.11135
2024-09-06 01:00:00,1.11134,1.11141,1.11102,1.11103
2024-09-06 01:15:00,1.11102,1.1114,1.111,1.11124
2024-09-06 01:30:00,1.11124,1.11124,1.11104,1.11123
2024-09-06 01:45:00,1.11122,1.11134,1.11101,1.11109
2024-09-06 02:00:00,1.11108,1.1112,1.11101,1.11112
2024-09-06 02:15:00,1.11113,1.11129,1.11112,1.11124
2024-09-06 02:30:00,1.11122,1.11127,1.11098,1.1111
2024-09-06 02:45:00,1.1111,1.11114,1.11094,1.11112
2024-09-06 03:00:00,1.11112,1.11135,1.11111,1.11132
2024-09-06 03:15:00,1.11132,1.11144,1.11123,1.11138
2024-09-06 03:30:00,1.11139,1.1116,1.11137,1.11155
2024-09-06 03:45:00,1.11154,1.11164,1.11146,1.11154
2024-09-06 04:00:00,1.11153,1.1117,1.1114,1.11162
2024-09-06 04:15:00,1.11163,1.1117,1.11158,1.11168
2024-09-06 04:30:00,1.11168,1.11172,1.11154,1.11164
2024-09-06 04:45:00,1.11164,1.11177,1.11154,1.1116
2024-09-06 05:00:00,1.1116,1.11188,1.11157,1.1118
2024-09-06 05:15:00,1.11179,1.11184,1.11166,1.11174
2024-09-06 05:30:00,1.11174,1.11174,1.11141,1.11162
2024-09-06 05:45:00,1.11162,1.11175,1.11145,1.11171
2024-09-06 06:00:00,1.11172,1.11198,1.11143,1.11198
2024-09-06 06:15:00,1.11196,1.11199,1.11166,1.11178
2024-09-06 06:30:00,1.11177,1.1118,1.1115,1.11176
2024-09-06 06:45:00,1.11178,1.1121,1.1116,1.11208
2024-09-06 07:00:00,1.11208,1.11208,1.11177,1.11178
2024-09-06 07:15:00,1.11178,1.11202,1.11147,1.11188
2024-09-06 07:30:00,1.11188,1.1119,1.11111,1.11124
2024-09-06 07:45:00,1.11124,1.11161,1.1111,1.1116
2024-09-06 08:00:00,1.1116,1.11189,1.11138,1.11144
2024-09-06 08:15:00,1.11144,1.11175,1.1113,1.11163
2024-09-06 08:30:00,1.11163,1.11184,1.11155,1.11168
2024-09-06 08:45:00,1.11166,1.1121,1.11153,1.11175
2024-09-06 09:00:00,1.11175,1.11175,1.11086,1.11089
2024-09-06 09:15:00,1.11088,1.11119,1.11078,1.11082
2024-09-06 09:30:00,1.11083,1.11113,1.11076,1.11089
2024-09-06 09:45:00,1.11088,1.11136,1.11082,1.11134
2024-09-06 10:00:00,1.11134,1.11139,1.111,1.11128
2024-09-06 10:15:00,1.11128,1.1113,1.1107,1.11084
2024-09-06 10:30:00,1.11085,1.11109,1.11074,1.11095
2024-09-06 10:45:00,1.11096,1.11109,1.1107,1.11076
2024-09-06 11:00:00,1.11076,1.11099,1.11056,1.11071
2024-09-06 11:15:00,1.11072,1.11084,1.11042,1.11058
2024-09-06 11:30:00,1.11056,1.11081,1.11028,1.11075
2024-09-06 11:45:00,1.11074,1.11086,1.11053,1.11071
2024-09-06 12:00:00,1.11072,1.11079,1.1101,1.11034
2024-09-06 12:15:00,1.11035,1.11106,1.11013,1.1109
2024-09-06 12:30:00,1.11089,1.11557,1.10755,1.11343
2024-09-06 12:45:00,1.11344,1.11363,1.11179,1.11211
2024-09-06 13:00:00,1.11212,1.11257,1.11032,1.11071
2024-09-06 13:15:00,1.1107,1.11087,1.10882,1.10954
2024-09-06 13:30:00,1.10955,1.11008,1.1074,1.10742
2024-09-06 13:45:00,1.1074,1.10839,1.10658,1.10836
2024-09-06 14:00:00,1.10836,1.10916,1.10734,1.10888
2024-09-06 14:15:00,1.10889,1.10963,1.1084,1.10874
2024-09-06 14:30:00,1.10874,1.11134,1.10818,1.11051
2024-09-06 14:45:00,1.11051,1.11104,1.10978,1.11022
2024-09-06 15:00:00,1.11022,1.11353,1.10844,1.10968
2024-09-06 15:15:00,1.10968,1.11086,1.10943,1.11058
2024-09-06 15:30:00,1.11059,1.11062,1.10896,1.10917
2024-09-06 15:45:00,1.10918,1.10942,1.10832,1.10858
2024-09-06 16:00:00,1.10856,1.10858,1.10758,1.1076
2024-09-06 16:15:00,1.10758,1.1079,1.10712,1.10785
2024-09-06 16:30:00,1.10786,1.10813,1.10711,1.10727
2024-09-06 16:45:00,1.10728,1.10784,1.10699,1.1077
2024-09-06 17:00:00,1.1077,1.10806,1.10697,1.10798
2024-09-06 17:15:00,1.10799,1.10895,1.10799,1.10873
2024-09-06 17:30:00,1.10873,1.10874,1.10812,1.10827
2024-09-06 17:45:00,1.10828,1.1087,1.10803,1.10848
2024-09-06 18:00:00,1.10849,1.10869,1.10783,1.10827
2024-09-06 18:15:00,1.10828,1.10862,1.1081,1.10861
2024-09-06 18:30:00,1.10862,1.1087,1.108,1.10826
2024-09-06 18:45:00,1.10826,1.1087,1.10812,1.10864
2024-09-06 19:00:00,1.10863,1.10864,1.10824,1.10856
2024-09-06 19:15:00,1.10856,1.10896,1.10842,1.10894
2024-09-06 19:30:00,1.10893,1.10895,1.10863,1.10873
2024-09-06 19:45:00,1.10872,1.10894,1.10861,1.10886
2024-09-06 20:00:00,1.10887,1.1089,1.10861,1.1087
2024-09-06 20:15:00,1.10871,1.10883,1.10866,1.10871
2024-09-06 20:30:00,1.10872,1.10874,1.10848,1.10856
2024-09-06 20:45:00,1.10858,1.10869,1.1085,1.10863
