date,open,high,low,close
2024-09-13 00:00:00,1.10788,1.10845,1.10778,1.10828
2024-09-13 00:30:00,1.10828,1.10875,1.10805,1.10872
2024-09-13 01:00:00,1.10874,1.1089,1.10841,1.10849
2024-09-13 01:30:00,1.1085,1.1086,1.10805,1.10818
2024-09-13 02:00:00,1.10818,1.109,1.10795,1.10889
2024-09-13 02:30:00,1.10888,1.10894,1.10855,1.1087
2024-09-13 03:00:00,1.1087,1.10889,1.10843,1.10886
2024-09-13 03:30:00,1.10886,1.10903,1.10856,1.10871
2024-09-13 04:00:00,1.10871,1.10882,1.10862,1.10862
2024-09-13 04:30:00,1.10863,1.10885,1.10842,1.10846
2024-09-13 05:00:00,1.10846,1.10848,1.10823,1.10835
2024-09-13 05:30:00,1.10836,1.10865,1.10817,1.10827
2024-09-13 06:00:00,1.10828,1.10848,1.10752,1.10761
2024-09-13 06:30:00,1.10762,1.10797,1.10747,1.1079
2024-09-13 07:00:00,1.1079,1.10822,1.10732,1.10816
2024-09-13 07:30:00,1.10816,1.10944,1.10812,1.10925
2024-09-13 08:00:00,1.10926,1.10935,1.10879,1.109
2024-09-13 08:30:00,1.109,1.10941,1.10861,1.10929
2024-09-13 09:00:00,1.1093,1.10968,1.10884,1.1095
2024-09-13 09:30:00,1.10951,1.1101,1.10913,1.1092
2024-09-13 10:00:00,1.1092,1.10934,1.10882,1.10926
2024-09-13 10:30:00,1.10926,1.10975,1.10869,1.10905
2024-09-13 11:00:00,1.10908,1.10932,1.1087,1.10876
2024-09-13 11:30:00,1.10875,1.10894,1.10814,1.10844
2024-09-13 12:00:00,1.10845,1.10886,1.10793,1.10842
2024-09-13 12:30:00,1.10842,1.10935,1.10808,1.1093
2024-09-13 13:00:00,1.10931,1.1102,1.10919,1.10934
2024-09-13 13:30:00,1.10935,1.10963,1.1088,1.10948
2024-09-13 14:00:00,1.10948,1.10956,1.10859,1.10909
2024-09-13 14:30:00,1.10909,1.10944,1.10845,1.1089
2024-09-13 15:00:00,1.10891,1.1092,1.10838,1.10876
2024-09-13 15:30:00,1.10876,1.10881,1.10822,1.10846
2024-09-13 16:00:00,1.10846,1.10851,1.10787,1.10823
2024-09-13 16:30:00,1.10824,1.1084,1.1077,1.1084
2024-09-13 17:00:00,1.1084,1.1086,1.10816,1.10835
2024-09-13 17:30:00,1.10836,1.10843,1.10804,1.10817
2024-09-13 18:00:00,1.10817,1.10848,1.10807,1.10837
2024-09-13 18:30:00,1.10838,1.10838,1.10768,1.10782
2024-09-13 19:00:00,1.10781,1.10815,1.10762,1.10803
2024-09-13 19:30:00,1.10802,1.10804,1.10766,1.1078
2024-09-13 20:00:00,1.1078,1.10784,1.10745,1.10752
2024-09-13 20:30:00,1.10752,1.10759,1.10729,1.10746
2024-09-13 21:00:00,1.10783,1.1079,1.10767,1.1077
2024-09-13 21:30:00,1.10771,1.108,1.1076,1.1078
2024-09-15 22:00:00,1.10788,1.10863,1.10774,1.10861
2024-09-15 22:30:00,1.10862,1.10876,1.10854,1.10869
2024-09-15 23:00:00,1.10871,1.1088,1.10851,1.10872
2024-09-15 23:30:00,1.10872,1.10896,1.10871,1.10875
